Entity,Code_x,Year,Annual CO₂ emissions,Code_y,Living Planet Index,Upper CI,Lower CI,Delta_Living Planet Index,Delta_Annual CO₂ emissions
Africa,,1971,331861400.0,,95.46197,104.9108,87.790567,,
Africa,,1972,351871100.0,,94.683415,110.86783,81.47984000000001,-0.7785549999999972,20009700.0
Africa,,1973,378003360.0,,99.181175,120.87072,81.90875,4.49776,26132260.0
Africa,,1974,388389600.0,,99.384934,127.87778,77.14461,0.2037590000000051,10386240.0
Africa,,1975,387265120.0,,96.61808,132.44863,69.76196,-2.766853999999995,-1124480.0
Africa,,1976,420141100.0,,92.4302,134.84796,61.837050000000005,-4.187880000000007,32875980.0
Africa,,1977,433115100.0,,87.26711999999999,131.952,56.34361,-5.163080000000008,12974000.0
Africa,,1978,462487070.0,,80.73154,125.72732,50.86064999999999,-6.535579999999996,29371970.0
Africa,,1979,499060700.0,,76.92542999999999,125.75388999999998,46.26641,-3.806110000000004,36573630.0
Africa,,1980,535678370.0,,76.90819,132.82049,43.880004,-0.0172399999999868,36617670.0
Africa,,1981,548570700.0,,79.57674,142.61507,43.644804,2.668549999999996,12892330.0
Africa,,1982,571727200.0,,76.40778,139.82531,41.075352,-3.1689599999999984,23156500.0
Africa,,1983,594561000.0,,73.15032500000001,134.31398000000002,39.057097,-3.257454999999993,22833800.0
Africa,,1984,649325060.0,,68.47612,126.08140000000002,36.338758,-4.674205000000015,54764060.0
Africa,,1985,665686400.0,,63.735694,117.93070000000002,33.653042,-4.740425999999992,16361340.0
Africa,,1986,689698050.0,,59.79401,111.44868,31.480372000000003,-3.941684000000002,24011650.0
Africa,,1987,689703300.0,,57.302266,107.70772,30.151215,-2.491743999999997,5250.0
Africa,,1988,724696800.0,,56.04172,105.84155,29.4651,-1.260546000000005,34993500.0
Africa,,1989,697796860.0,,55.163693,104.7286,28.956127,-0.8780269999999959,-26899940.0
Africa,,1990,658281400.0,,53.53412,102.04711,27.992064,-1.6295730000000006,-39515460.0
Africa,,1991,687829100.0,,52.49576,100.47737,27.323914,-1.0383600000000044,29547700.0
Africa,,1992,666901500.0,,52.553064000000006,101.03819,27.247414,0.0573040000000091,-20927600.0
Africa,,1993,706661500.0,,52.879715,102.22621999999998,27.229813000000004,0.3266509999999911,39760000.0
Africa,,1994,790281400.0,,53.79903,104.64113,27.489397,0.9193150000000044,83619900.0
Africa,,1995,844556600.0,,53.20898,104.13283,27.013078,-0.5900500000000051,54275200.0
Africa,,1996,872320830.0,,53.31399999999999,104.83172,26.997986,0.1050199999999961,27764230.0
Africa,,1997,893989200.0,,52.35895000000001,103.34549,26.479855,-0.9550499999999856,21668370.0
Africa,,1998,912442100.0,,51.48128,101.8665,26.052165,-0.877670000000009,18452900.0
Africa,,1999,899677440.0,,50.7355,100.53807,25.653645000000004,-0.7457799999999963,-12764660.0
Africa,,2000,930042600.0,,49.84782,99.062806,25.194833,-0.8876800000000031,30365160.0
Africa,,2001,919542850.0,,47.79694,95.5173,24.047057,-2.05088,-10499750.0
Africa,,2002,899274200.0,,45.418295,91.410357,22.7726,-2.378644999999999,-20268650.0
Africa,,2003,988565440.0,,43.467075,88.07930400000001,21.584627,-1.9512199999999995,89291240.0
Africa,,2004,1044866750.0,,43.0759,88.143677,21.047457,-0.391175000000004,56301310.0
Africa,,2005,1063180000.0,,42.34751,87.52023,20.352492,-0.7283899999999974,18313250.0
Africa,,2006,1092165900.0,,41.760892,87.05808499999999,19.843455,-0.5866180000000014,28985900.0
Africa,,2007,1122721400.0,,41.764033,87.35758,19.82945,0.0031409999999993,30555500.0
Africa,,2008,1175619600.0,,42.106512,88.00000999999999,19.957817,0.3424790000000044,52898200.0
Africa,,2009,1173163400.0,,42.209774,88.48471,19.960947,0.1032620000000008,-2456200.0
Africa,,2010,1215373700.0,,41.113392,86.38893399999999,19.391656,-1.0963820000000055,42210300.0
Africa,,2011,1255083900.0,,39.325637,83.07537,18.496186,-1.787754999999997,39710200.0
Africa,,2012,1255851500.0,,36.957404,78.1069,17.35908,-2.368233000000004,767600.0
Africa,,2013,1265469700.0,,34.51454,73.001695,16.184811,-2.442864,9618200.0
Africa,,2014,1344915500.0,,32.49287,68.62863300000001,15.238576,-2.021669999999993,79445800.0
Africa,,2015,1319787300.0,,31.293574000000003,66.256154,14.669147,-1.1992960000000004,-25128200.0
Africa,,2016,1355493500.0,,32.054222,68.026894,14.968883,0.7606479999999998,35706200.0
Africa,,2017,1369709700.0,,34.445876,73.43357999999999,15.991855,2.3916539999999955,14216200.0
Asia,,1971,2950089000.0,,103.71096,109.73047,98.47158,69.265084,1580379300.0
Asia,,1972,3120029000.0,,104.83867,114.40424,96.100694,1.127709999999993,169940000.0
Asia,,1973,3351352300.0,,104.1134,114.80968,93.620443,-0.7252699999999948,231323300.0
Asia,,1974,3410965200.0,,104.98115,116.57597,93.8733,0.8677500000000009,59612900.0
Asia,,1975,3576356000.0,,105.98036,118.40523,94.33209,0.999210000000005,165390800.0
Asia,,1976,3801276000.0,,106.01546,119.12738,93.97155,0.0350999999999999,224920000.0
Asia,,1977,4045921000.0,,104.16127,117.26179,92.153233,-1.854190000000003,244645000.0
Asia,,1978,4227023400.0,,102.56186,115.7287,90.49999,-1.599410000000006,181102400.0
Asia,,1979,4400641500.0,,101.44664000000002,114.75374,89.24706,-1.1152199999999794,173618100.0
Asia,,1980,4395379700.0,,100.67152,114.19536,88.32681,-0.7751200000000154,-5261800.0
Asia,,1981,4368962000.0,,99.026155,112.65767,86.6304,-1.6453649999999982,-26417700.0
Asia,,1982,4518591000.0,,96.717304,110.36655,84.34331,-2.308851000000004,149629000.0
Asia,,1983,4700642300.0,,93.70903,107.25349,81.48149000000001,-3.008274,182051300.0
Asia,,1984,4974816000.0,,92.25159,106.70655,79.47895,-1.4574400000000054,274173700.0
Asia,,1985,5266013700.0,,92.458534,108.66195,78.492355,0.2069440000000071,291197700.0
Asia,,1986,5492050000.0,,94.252414,113.65442,78.26455,1.7938800000000017,226036300.0
Asia,,1987,5727687000.0,,94.757587,116.5778,77.42004,0.5051729999999992,235637000.0
Asia,,1988,6189060000.0,,94.40385,118.01323,76.22282,-0.3537369999999953,461373000.0
Asia,,1989,6404369400.0,,93.061244,117.27253,74.67910599999999,-1.3426060000000035,215309400.0
Asia,,1990,6608574500.0,,90.09349,114.69969,71.54258999999999,-2.967754,204205100.0
Asia,,1991,7405573000.0,,86.526734,111.54144,67.83386,-3.566755999999998,796998500.0
Asia,,1992,7248764400.0,,82.85733499999999,108.19927,64.09076,-3.6693990000000127,-156808600.0
Asia,,1993,7582536000.0,,78.79221,104.01789,60.28006,-4.065124999999995,333771600.0
Asia,,1994,7937216500.0,,75.63638999999999,100.8917,57.15854,-3.1558200000000056,354680500.0
Asia,,1995,8257986000.0,,72.34422,97.493047,54.07322,-3.2921699999999845,320769500.0
Asia,,1996,8596896000.0,,70.80678,96.063626,52.50692,-1.5374400000000037,338910000.0
Asia,,1997,8717279000.0,,68.932796,94.21723,50.77584,-1.8739840000000072,120383000.0
Asia,,1998,8473237000.0,,66.69414,91.799045,48.745552,-2.238655999999992,-244042000.0
Asia,,1999,8952734000.0,,64.504075,89.51847000000001,46.805006,-2.190065000000004,479497000.0
Asia,,2000,9328854000.0,,62.26602,86.936504,44.924057,-2.238055000000003,376120000.0
Asia,,2001,9491190000.0,,61.2745,85.811317,43.987495,-0.9915199999999942,162336000.0
Asia,,2002,10012849000.0,,61.50519,86.17513,43.99993,0.2306899999999956,521659000.0
Asia,,2003,11021268000.0,,62.201875,87.21953,44.328162,0.6966850000000022,1008419000.0
Asia,,2004,11680722000.0,,63.06195,88.82842,44.817626,0.8600750000000019,659454000.0
Asia,,2005,12527827000.0,,62.876225,89.2961,44.50083,-0.185725000000005,847105000.0
Asia,,2006,13389901000.0,,62.67986,89.850974,44.099128,-0.1963650000000001,862074000.0
Asia,,2007,14088936000.0,,59.98012000000001,86.90742,41.737357,-2.699739999999992,699035000.0
Asia,,2008,14828029000.0,,55.849594,81.72202,38.40117,-4.130526000000003,739093000.0
Asia,,2009,15345886000.0,,50.052905,74.30290000000001,33.88529,-5.796689000000001,517857000.0
Asia,,2010,16496831000.0,,46.797657,70.76373000000001,31.154042,-3.2552480000000017,1150945000.0
Asia,,2011,17715628000.0,,44.423908,68.612015,28.923032,-2.373749000000004,1218797000.0
Asia,,2012,18400993000.0,,43.99663,69.18258,28.050643,-0.427277999999994,685365000.0
Asia,,2013,18635370000.0,,44.64906,71.09429,27.924296,0.6524299999999954,234377000.0
Asia,,2014,18959088000.0,,45.918137,73.70648,28.423893,1.269077000000003,323718000.0
Asia,,2015,19113157000.0,,46.883875,75.92752,28.74162,0.9657380000000018,154069000.0
